state,lga,ward
Abia,Aba north,Ariaria market
Abia,Aba north,Eziama
Abia,Aba north,Industrial area
Abia,Aba north,Ogbor i
Abia,Aba north,Ogbor ii
Abia,Aba north,Old aba gra
Abia,Aba north,Osusu i
Abia,Aba north,Osusu ii
Abia,Aba north,St.eugenes by okigwe rd.
Abia,Aba north,Umuogor
Abia,Aba north,Umuola
Abia,Aba north,Uratta
Abia,Aba south,Aba river
Abia,Aba south,Aba town hall
Abia,Aba south,Asa
Abia,Aba south,Ekeoha
Abia,Aba south,Enyimba
Abia,Aba south,Eziukwu
Abia,Aba south,Gloucester
Abia,Aba south,Igwebuike
Abia,Aba south,Mosque
Abia,Aba south,Ngwa
Abia,Aba south,Ohazu i
Abia,Aba south,Ohazu ii
Abia,Arochukwu,Arochukwu i
Abia,Arochukwu,Arochukwu ii
Abia,Arochukwu,Arochukwu iii
Abia,Arochukwu,Eleoha ihechiowa
Abia,Arochukwu,Ikwun ihechiowa
Abia,Arochukwu,Isu
Abia,Arochukwu,Ohaeke
Abia,Arochukwu,Ohafor i
Abia,Arochukwu,Ohafor ii
Abia,Arochukwu,Ovukwu
Abia,Arochukwu,Ututu
Abia,Bende,Amankalu/akoliufu
Abia,Bende,Bende
Abia,Bende,Igbere 'a'
Abia,Bende,Igbere 'b'
Abia,Bende,Item a
Abia,Bende,Item b
Abia,Bende,Item c
Abia,Bende,Itumbauzo
Abia,Bende,Ozuitem
Abia,Bende,Ugwueke/ezeukwu
Abia,Bende,Umu - imenyi
Abia,Bende,Umuhu / ezechi
Abia,Bende,Uzuakoli
Abia,Ikwuano,Ariam
Abia,Ikwuano,Ibere i
Abia,Ikwuano,Ibere ii
Abia,Ikwuano,Oboro i
Abia,Ikwuano,Oboro ii
Abia,Ikwuano,Oboro iii
Abia,Ikwuano,Oboro iv
Abia,Ikwuano,Oloko i
Abia,Ikwuano,Oloko ii
Abia,Ikwuano,Usaka
Abia,Isiala ngwa north,Amapu ntigha
Abia,Isiala ngwa north,Amasaa nsulu
Abia,Isiala ngwa north,Amasaa ntigha
Abia,Isiala ngwa north,Ihie
Abia,Isiala ngwa north,Isiala nsulu
Abia,Isiala ngwa north,Mbawsi / umuomainta
Abia,Isiala ngwa north,Ngwa ukwu i
Abia,Isiala ngwa north,Ngwa ukwu ii
Abia,Isiala ngwa north,Umunna nsulu
Abia,Isiala ngwa north,Umuoha
Abia,Isiala ngwa south,Akunekpu eziama na obuba
Abia,Isiala ngwa south,Amaise / amaise anaba
Abia,Isiala ngwa south,Ehina guru osokwa
Abia,Isiala ngwa south,Mbutu ngwa
Abia,Isiala ngwa south,Mbutu ukwu
Abia,Isiala ngwa south,Ngwaobi
Abia,Isiala ngwa south,Okporo ahaba
Abia,Isiala ngwa south,Omoba
Abia,Isiala ngwa south,Ovungwu
Abia,Isiala ngwa south,Ovuokwu
Abia,Isuikwuato,Achara / mgbugwu
Abia,Isuikwuato,Ezere
Abia,Isuikwuato,Ikeagha i
Abia,Isuikwuato,Ikeagha ii
Abia,Isuikwuato,Imenyi
Abia,Isuikwuato,Isiala amawu
Abia,Isuikwuato,Isu amawu
Abia,Isuikwuato,Ogunduasa
Abia,Isuikwuato,Umuanyi / absu
Abia,Isuikwuato,Umunnekwu
Abia,Obingwa,Abayi i
Abia,Obingwa,Abayi ii
Abia,Obingwa,Ahiaba
Abia,Obingwa,Akumaimo
Abia,Obingwa,Alaukwu ohanze
Abia,Obingwa,Ibeme
Abia,Obingwa,Maboko amairi
Abia,Obingwa,Mgboko itungwa
Abia,Obingwa,Mgboko umuanunu
Abia,Obingwa,Ndiarata / amairinabua
Abia,Obingwa,Ntighauzo amairi
Abia,Ohafia,Agboji abiriba
Abia,Ohafia,Amaeke abiriba
Abia,Ohafia,Amaogudu abiriba
Abia,Ohafia,Ania ohoafia
Abia,Ohafia,Ebem ohafia
Abia,Ohafia,Isiama ohafia
Abia,Ohafia,Ndi agbo nkporo
Abia,Ohafia,Ndi elu nkporo
Abia,Ohafia,Ndi etiti nkporo
Abia,Ohafia,Ohafor ohoafia
Abia,Ohafia,Okanu ohoafia
Abia,Osisioma,Ama - asaa
Abia,Osisioma,Amaitolu mbutu umuojima
Abia,Osisioma,Amasator
Abia,Osisioma,Amator
Abia,Osisioma,Amavo
Abia,Osisioma,Aro - ngwa
Abia,Osisioma,Okpor - umuobo
Abia,Osisioma,Oso - okwa
Abia,Osisioma,Umunneise
Abia,Osisioma,Urtta
Abia,Ugwunagbo,Ward eight
Abia,Ugwunagbo,Ward five
Abia,Ugwunagbo,Ward four
Abia,Ugwunagbo,Ward nine
Abia,Ugwunagbo,Ward one
Abia,Ugwunagbo,Ward seven
Abia,Ugwunagbo,Ward six
Abia,Ugwunagbo,Ward ten
Abia,Ugwunagbo,Ward three
Abia,Ugwunagbo,Ward two
Abia,Ukwa west,Asa north
Abia,Ukwa west,Asa south
Abia,Ukwa west,Ipu south
Abia,Ukwa west,Ipu east
Abia,Ukwa west,Ipu west
Abia,Ukwa west,Obokwe
Abia,Ukwa west,Obuzor
Abia,Ukwa west,Ogwe
Abia,Ukwa west,Ozaa west
Abia,Ukwa west,Ozaa ukwu
Abia,Ukwa east,Akwete
Abia,Ukwa east,Azumini
Abia,Ukwa east,Ikwueke west
Abia,Ukwa east,Ikwueke east
Abia,Ukwa east,Ikwuorie
Abia,Ukwa east,Ikwuriator east
Abia,Ukwa east,Ikwuriator west
Abia,Ukwa east,Nkporobe/ohuru
Abia,Ukwa east,Obohia
Abia,Ukwa east,Umuigube achara
Abia,Umu - nneochi,Amuda
Abia,Umu - nneochi,Eziama - agbo
Abia,Umu - nneochi,Eziama - ugwu
Abia,Umu - nneochi,Ezingodo
Abia,Umu - nneochi,Mbala/achara
Abia,Umu - nneochi,Ndiawa/umuelem/i
Abia,Umu - nneochi,Obinolu/obiagu/la
Abia,Umu - nneochi,Ubahu/akawa/arokpa
Abia,Umu - nneochi,Umuaku
Abia,Umu - nneochi,Umuchieze i
Abia,Umu - nneochi,Umuchieze ii
Abia,Umu - nneochi,Umuchieze iii
Abia,Umuahia south,Ahiaukwu i
Abia,Umuahia south,Ahiaukwu ii
Abia,Umuahia south,Amakama
Abia,Umuahia south,Ezeleke/ogbodiukwu
Abia,Umuahia south,Nsirimo
Abia,Umuahia south,Ohiaocha
Abia,Umuahia south,Old umuahia
Abia,Umuahia south,Omaegwu
Abia,Umuahia south,Ubakala 'a'
Abia,Umuahia south,Ubakala 'b'
Abia,Umuahia north,Afugiri
Abia,Umuahia north,Ibeku east i
Abia,Umuahia north,Ibeku east ii
Abia,Umuahia north,Ibeku west
Abia,Umuahia north,Isingwu
Abia,Umuahia north,Ndume
Abia,Umuahia north,Nkwoachara
Abia,Umuahia north,Nkwoegwu
Abia,Umuahia north,Umuahia urban i
Abia,Umuahia north,Umuahia urban ii
Abia,Umuahia north,Umuahia urban iii
Abia,Umuahia north,Umuhu
Adamawa,Demsa,Bille
Adamawa,Demsa,Borrong
Adamawa,Demsa,Demsa
Adamawa,Demsa,Dilli
Adamawa,Demsa,Dong
Adamawa,Demsa,Dwam
Adamawa,Demsa,Gwamba
Adamawa,Demsa,Kpasham
Adamawa,Demsa,Mbula kuli
Adamawa,Demsa,Nassarawo demsa
Adamawa,Fufore,Beti
Adamawa,Fufore,Farang
Adamawa,Fufore,Fufore
Adamawa,Fufore,Gurin
Adamawa,Fufore,Karlahi
Adamawa,Fufore,Mayo ine
Adamawa,Fufore,Pariya
Adamawa,Fufore,Ribadu
Adamawa,Fufore,Uki tuki
Adamawa,Fufore,Wuro bokki
Adamawa,Fufore,Yadim
Adamawa,Ganye,Bakari guso
Adamawa,Ganye,Gamu
Adamawa,Ganye,Ganye i
Adamawa,Ganye,Ganye ii
Adamawa,Ganye,Gurum
Adamawa,Ganye,Jaggu
Adamawa,Ganye,Sangasumi
Adamawa,Ganye,Sugu
Adamawa,Ganye,Timdore
Adamawa,Ganye,Yebbi
Adamawa,Gire 1,Dakri
Adamawa,Gire 1,Damare
Adamawa,Gire 1,Gerei i
Adamawa,Gire 1,Gereng
Adamawa,Gire 1,Girei ii
Adamawa,Gire 1,Jera bakari
Adamawa,Gire 1,Jera bonyo
Adamawa,Gire 1,Modire/ vinikilang
Adamawa,Gire 1,Tambo
Adamawa,Gire 1,Wuro dole
Adamawa,Gombi,Boga/ dingai
Adamawa,Gombi,Duwa
Adamawa,Gombi,Ga'anda
Adamawa,Gombi,Gabun
Adamawa,Gombi,Garkida
Adamawa,Gombi,Gombi north
Adamawa,Gombi,Gombi south
Adamawa,Gombi,Guyaku
Adamawa,Gombi,Tawa
Adamawa,Gombi,Yang
Adamawa,Guyuk,Banjiram
Adamawa,Guyuk,Bobini
Adamawa,Guyuk,Bodeno
Adamawa,Guyuk,Chikila
Adamawa,Guyuk,Dukul
Adamawa,Guyuk,Dumna
Adamawa,Guyuk,Guyuk
Adamawa,Guyuk,Kola
Adamawa,Guyuk,Lokoro
Adamawa,Guyuk,Purokayo
Adamawa,Hong,Bangshika
Adamawa,Hong,Daksiri
Adamawa,Hong,Garaha
Adamawa,Hong,Gaya
Adamawa,Hong,Hildi
Adamawa,Hong,Hong
Adamawa,Hong,Hushere zum
Adamawa,Hong,Kwarhi
Adamawa,Hong,Mayo lope
Adamawa,Hong,Shangui
Adamawa,Hong,Thilbang
Adamawa,Hong,Uba
Adamawa,Jada,Danaba
Adamawa,Jada,Jada i
Adamawa,Jada,Jada ii
Adamawa,Jada,Koma i
Adamawa,Jada,Koma ii
Adamawa,Jada,Leko
Adamawa,Jada,Mapeo
Adamawa,Jada,Mayokalaye
Adamawa,Jada,Mbulo
Adamawa,Jada,Nyibango
Adamawa,Jada,Yelli
Adamawa,Lamurde,Dubwangun
Adamawa,Lamurde,Gyawana
Adamawa,Lamurde,Lafiya
Adamawa,Lamurde,Lamurde
Adamawa,Lamurde,Mgbebongun
Adamawa,Lamurde,Ngbakowo
Adamawa,Lamurde,Opalo
Adamawa,Lamurde,Rigange
Adamawa,Lamurde,Suwa
Adamawa,Lamurde,Waduku
Adamawa,Madagali,Babel
Adamawa,Madagali,Duhu/ shuwa
Adamawa,Madagali,Gulak
Adamawa,Madagali,Hyambula
Adamawa,Madagali,K/wuro ngayandi
Adamawa,Madagali,Madagali
Adamawa,Madagali,Pallam
Adamawa,Madagali,Shelmi / sukur/ vapura
Adamawa,Madagali,Wagga
Adamawa,Madagali,Wula
Adamawa,Maiha,Belel
Adamawa,Maiha,Humbutudi
Adamawa,Maiha,Konkol
Adamawa,Maiha,Maiha gari
Adamawa,Maiha,Manjekin
Adamawa,Maiha,Mayonguli
Adamawa,Maiha,Pakka
Adamawa,Maiha,Sorau 'a'
Adamawa,Maiha,Sorau 'b'
Adamawa,Maiha,Tambajam
Adamawa,Mayo - belwa,Bajama
Adamawa,Mayo - belwa,Binyeri
Adamawa,Mayo - belwa,Gangfada
Adamawa,Mayo - belwa,Gengle
Adamawa,Mayo - belwa,Gorobi
Adamawa,Mayo - belwa,Mayo farang
Adamawa,Mayo - belwa,Mayo-belwa
Adamawa,Mayo - belwa,Nassarawo jereng
Adamawa,Mayo - belwa,Ndikong
Adamawa,Mayo - belwa,Ribadu
Adamawa,Mayo - belwa,Tola
Adamawa,Mayo - belwa,Yoffo
Adamawa,Michika,Bazza margi
Adamawa,Michika,Futudou / futules
Adamawa,Michika,Garta / ghunchi
Adamawa,Michika,Jigalambu
Adamawa,Michika,Madzi
Adamawa,Michika,Michika i
Adamawa,Michika,Michika ii
Adamawa,Michika,Minkisi/ wuro ngiki
Adamawa,Michika,Moda / dlaka / ghenjuwa
Adamawa,Michika,Munkavicita
Adamawa,Michika,Sina / kamale / kwande
Adamawa,Michika,Sukumu / tillijo
Adamawa,Michika,Thukudou / sufuku / zah
Adamawa,Michika,Tumbara / ngabili
Adamawa,Michika,Vi / boka
Adamawa,Michika,Wamblimi / tilli
Adamawa,Mubi north,Bahuli
Adamawa,Mubi north,Betso
Adamawa,Mubi north,Digil
Adamawa,Mubi north,Kolere
Adamawa,Mubi north,Lokuwa
Adamawa,Mubi north,Mayo bani
Adamawa,Mubi north,Mijilu
Adamawa,Mubi north,Muchalla
Adamawa,Mubi north,Sabon layi
Adamawa,Mubi north,Vimtim
Adamawa,Mubi north,Yelwa
Adamawa,Mubi south,Dirbishi/gandira
Adamawa,Mubi south,Duvu/ chaba/ girburum
Adamawa,Mubi south,Gella
Adamawa,Mubi south,Gude
Adamawa,Mubi south,Kwaja
Adamawa,Mubi south,Lamorde
Adamawa,Mubi south,Mugulbu/ yadafa
Adamawa,Mubi south,Mujara
Adamawa,Mubi south,Nassarawo
Adamawa,Mubi south,Nduku
Adamawa,Numan,Bare
Adamawa,Numan,Bolki
Adamawa,Numan,Gamadio
Adamawa,Numan,Imburu
Adamawa,Numan,Kodomti
Adamawa,Numan,Numan i
Adamawa,Numan,Numan ii
Adamawa,Numan,Numan iii
Adamawa,Numan,Sabon pegi
Adamawa,Numan,Vulpi
Adamawa,Shelleng,Bakta
Adamawa,Shelleng,Bodwai
Adamawa,Shelleng,Gundo
Adamawa,Shelleng,Gwapopolok
Adamawa,Shelleng,Jumbul
Adamawa,Shelleng,Ketembere
Adamawa,Shelleng,Kiri
Adamawa,Shelleng,Libbo
Adamawa,Shelleng,Shelleng
Adamawa,Shelleng,Tallum
Adamawa,Song,Dirma
Adamawa,Song,Dumne
Adamawa,Song,Gudu mboi
Adamawa,Song,Kilange funa
Adamawa,Song,Kilange hirna
Adamawa,Song,Sigire
Adamawa,Song,Song gari
Adamawa,Song,Song waje
Adamawa,Song,Suktu
Adamawa,Song,Waltandi
Adamawa,Song,Zumo
Adamawa,Toungo,Dawo i
Adamawa,Toungo,Dawo ii
Adamawa,Toungo,Gumti
Adamawa,Toungo,Kiri i
Adamawa,Toungo,Kiri ii
Adamawa,Toungo,Kongin baba i
Adamawa,Toungo,Kongin baba ii
Adamawa,Toungo,Toungo i
Adamawa,Toungo,Toungo ii
Adamawa,Toungo,Toungo iii
Adamawa,Yola north,Ajiya
Adamawa,Yola north,Alkalawa
Adamawa,Yola north,Doubeli
Adamawa,Yola north,Gwadabawa
Adamawa,Yola north,Jambutu
Adamawa,Yola north,Karena
Adamawa,Yola north,Limawa
Adamawa,Yola north,Luggere
Adamawa,Yola north,Nassarawo
Adamawa,Yola north,Rumde
Adamawa,Yola north,Yelwa
Adamawa,Yola south,Adarawo
Adamawa,Yola south,Bako
Adamawa,Yola south,Bole yolde pate
Adamawa,Yola south,Makama 'a'
Adamawa,Yola south,Makama 'b'
Adamawa,Yola south,Mbamba
Adamawa,Yola south,Mbamoi
Adamawa,Yola south,Namtari
Adamawa,Yola south,Ngurore
Adamawa,Yola south,Toungo
Adamawa,Yola south,Yolde kohi
Akwa ibom,Abak,Abak urban 1
Akwa ibom,Abak,Abak urban 11
Akwa ibom,Abak,Abak urban 111
Akwa ibom,Abak,Abak urban 1v
Akwa ibom,Abak,Afaha obong 1
Akwa ibom,Abak,Afaha obong 11
Akwa ibom,Abak,Midim 1
Akwa ibom,Abak,Midim 11
Akwa ibom,Abak,Otoro 1
Akwa ibom,Abak,Otoro 11
Akwa ibom,Abak,Otoro 111
Akwa ibom,Eastern obolo,Eastern obolo 1
Akwa ibom,Eastern obolo,Eastern obolo 11
Akwa ibom,Eastern obolo,Eastern obolo 111
Akwa ibom,Eastern obolo,Eastern obolo 1v
Akwa ibom,Eastern obolo,Eastern obolo ix
Akwa ibom,Eastern obolo,Eastern obolo v
Akwa ibom,Eastern obolo,Eastern obolo v1
Akwa ibom,Eastern obolo,Eastern obolo v11
Akwa ibom,Eastern obolo,Eastern obolo v111
Akwa ibom,Eastern obolo,Eastern obolo x
Akwa ibom,Eket,Central 1
Akwa ibom,Eket,Central 11
Akwa ibom,Eket,Central 111
Akwa ibom,Eket,Central 1v
Akwa ibom,Eket,Central v
Akwa ibom,Eket,Okon 1
Akwa ibom,Eket,Okon 11
Akwa ibom,Eket,Urban 1
Akwa ibom,Eket,Urban 11
Akwa ibom,Eket,Urban 111
Akwa ibom,Eket,Urban 1v
Akwa ibom,Esit eket (uquo),Akpautong
Akwa ibom,Esit eket (uquo),Ebe ekpi
Akwa ibom,Esit eket (uquo),Ebighi okpono
Akwa ibom,Esit eket (uquo),Edor
Akwa ibom,Esit eket (uquo),Ekpene obo
Akwa ibom,Esit eket (uquo),Etebi akwata
Akwa ibom,Esit eket (uquo),Etebi idung assan
Akwa ibom,Esit eket (uquo),Ikpa
Akwa ibom,Esit eket (uquo),Ntak inyang
Akwa ibom,Esit eket (uquo),Uquo
Akwa ibom,Essien udim,Adiasim
Akwa ibom,Essien udim,Afaha
Akwa ibom,Essien udim,Ekpeyong 1
Akwa ibom,Essien udim,Ekpeyong 11
Akwa ibom,Essien udim,Ikpe annang
Akwa ibom,Essien udim,Odoro ikot 1
Akwa ibom,Essien udim,Odoro ikot 11
Akwa ibom,Essien udim,Okon
Akwa ibom,Essien udim,Ukana east
Akwa ibom,Essien udim,Ukana west 1
Akwa ibom,Essien udim,Ukana west 11
Akwa ibom,Etim ekpo,Etim ekpo 1
Akwa ibom,Etim ekpo,Etim ekpo 11
Akwa ibom,Etim ekpo,Etim ekpo 111
Akwa ibom,Etim ekpo,Etim ekpo 1v
Akwa ibom,Etim ekpo,Etim ekpo ix
Akwa ibom,Etim ekpo,Etim ekpo v
Akwa ibom,Etim ekpo,Etim ekpo v1
Akwa ibom,Etim ekpo,Etim ekpo v11
Akwa ibom,Etim ekpo,Etim ekpo v111
Akwa ibom,Etim ekpo,Etim ekpo x
Akwa ibom,Etinan,Etinan urban 1
Akwa ibom,Etinan,Etinan urban 11
Akwa ibom,Etinan,Etinan urban 111
Akwa ibom,Etinan,Etinan urban 1v
Akwa ibom,Etinan,Etinan urban v
Akwa ibom,Etinan,Northern iman 1
Akwa ibom,Etinan,Northern iman 11
Akwa ibom,Etinan,Southern iman 1
Akwa ibom,Etinan,Southern iman 11
Akwa ibom,Etinan,Southern iman 111
Akwa ibom,Etinan,Southern iman 1v
Akwa ibom,Ibeno,Ibeno 1
Akwa ibom,Ibeno,Ibeno 11
Akwa ibom,Ibeno,Ibeno 111
Akwa ibom,Ibeno,Ibeno 1v
Akwa ibom,Ibeno,Ibeno ix
Akwa ibom,Ibeno,Ibeno v
Akwa ibom,Ibeno,Ibeno v11
Akwa ibom,Ibeno,Ibeno v111
Akwa ibom,Ibeno,Ibeno vi
Akwa ibom,Ibeno,Ibeno x
Akwa ibom,Ibesikpo asutan,Asutan 1
Akwa ibom,Ibesikpo asutan,Asutan 11
Akwa ibom,Ibesikpo asutan,Asutan 111
Akwa ibom,Ibesikpo asutan,Asutan 1v
Akwa ibom,Ibesikpo asutan,Asutan v
Akwa ibom,Ibesikpo asutan,Ibesikpo 1
Akwa ibom,Ibesikpo asutan,Ibesikpo 11
Akwa ibom,Ibesikpo asutan,Ibesikpo 111
Akwa ibom,Ibesikpo asutan,Ibesikpo 1v
Akwa ibom,Ibesikpo asutan,Ibesikpo v
Akwa ibom,Ibiono ibom,Ibiono central 1
Akwa ibom,Ibiono ibom,Ibiono central 11
Akwa ibom,Ibiono ibom,Ibiono eastern 1
Akwa ibom,Ibiono ibom,Ibiono eastern 11
Akwa ibom,Ibiono ibom,Ibiono northern 1
Akwa ibom,Ibiono ibom,Ibiono northern 11
Akwa ibom,Ibiono ibom,Ibiono southern 1
Akwa ibom,Ibiono ibom,Ibiono southern 11
Akwa ibom,Ibiono ibom,Ibiono western 1
Akwa ibom,Ibiono ibom,Ibiono western 11
Akwa ibom,Ibiono ibom,Ikpanya
Akwa ibom,Ika,Achan 11
Akwa ibom,Ika,Achan 111
Akwa ibom,Ika,Achan ika
Akwa ibom,Ika,Ito 1
Akwa ibom,Ika,Ito 11
Akwa ibom,Ika,Ito 111
Akwa ibom,Ika,Odoro 1
Akwa ibom,Ika,Odoro 11
Akwa ibom,Ika,Urban 1
Akwa ibom,Ika,Urban 11
Akwa ibom,Ikono,1tak
Akwa ibom,Ikono,Ediene 1
Akwa ibom,Ikono,Ediene 11
Akwa ibom,Ikono,Ikono middle 1
Akwa ibom,Ikono,Ikono middle 11
Akwa ibom,Ikono,Ikono middle 111
Akwa ibom,Ikono,Ikono middle 1v
Akwa ibom,Ikono,Ikono south
Akwa ibom,Ikono,Ndiya/ikot idana
Akwa ibom,Ikono,Nkwot 1
Akwa ibom,Ikono,Nkwot 11
Akwa ibom,Ikot abasi,Edemaya 1
Akwa ibom,Ikot abasi,Edemaya 11
Akwa ibom,Ikot abasi,Edemaya 111
Akwa ibom,Ikot abasi,Ikpa ibekwe 1
Akwa ibom,Ikot abasi,Ikpa ibekwe 11
Akwa ibom,Ikot abasi,Ikpa nung asang 1
Akwa ibom,Ikot abasi,Ikpa nung asang 11
Akwa ibom,Ikot abasi,Ukpum ete 1
Akwa ibom,Ikot abasi,Ukpum ete 11
Akwa ibom,Ikot abasi,Ukpum okon
Akwa ibom,Ikot ekpene,Ikot ekpene 1
Akwa ibom,Ikot ekpene,Ikot ekpene 11
Akwa ibom,Ikot ekpene,Ikot ekpene 111
Akwa ibom,Ikot ekpene,Ikot ekpene 1v
Akwa ibom,Ikot ekpene,Ikot ekpene ix
Akwa ibom,Ikot ekpene,Ikot ekpene v
Akwa ibom,Ikot ekpene,Ikot ekpene v1
Akwa ibom,Ikot ekpene,Ikot ekpene v11
Akwa ibom,Ikot ekpene,Ikot ekpene v111
Akwa ibom,Ikot ekpene,Ikot ekpene x
Akwa ibom,Ikot ekpene,Ikot ekpene x1
Akwa ibom,Ini,Ikono north 1
Akwa ibom,Ini,Ikono north 11
Akwa ibom,Ini,Ikono north 111
Akwa ibom,Ini,Ikpe 1
Akwa ibom,Ini,Ikpe 11
Akwa ibom,Ini,Itu mbonuso
Akwa ibom,Ini,Iwerre
Akwa ibom,Ini,Nkari
Akwa ibom,Ini,Odoro ukwok
Akwa ibom,Ini,Usuk ukwok
Akwa ibom,Itu,East itam 1
Akwa ibom,Itu,East itam 11
Akwa ibom,Itu,East itam 111
Akwa ibom,Itu,East itam 1v
Akwa ibom,Itu,East itam v
Akwa ibom,Itu,Mbiase/ayadehe
Akwa ibom,Itu,Oku iboku
Akwa ibom,Itu,West itam 1
Akwa ibom,Itu,West itam 11
Akwa ibom,Itu,West itam 111
Akwa ibom,Mbo,Ebughu 1
Akwa ibom,Mbo,Ebughu 11
Akwa ibom,Mbo,Efiat 1
Akwa ibom,Mbo,Efiat 11
Akwa ibom,Mbo,Enwang 1
Akwa ibom,Mbo,Enwang 11
Akwa ibom,Mbo,Ibaka
Akwa ibom,Mbo,Uda 1
Akwa ibom,Mbo,Uda 11
Akwa ibom,Mbo,Udesi
Akwa ibom,Mkpat enin,Ibiaku 1
Akwa ibom,Mkpat enin,Ibiaku 11
Akwa ibom,Mkpat enin,Ibiaku 111
Akwa ibom,Mkpat enin,Ikpa ibom 1
Akwa ibom,Mkpat enin,Ikpa ibom 11
Akwa ibom,Mkpat enin,Ikpa ibom 111
Akwa ibom,Mkpat enin,Ikpa ibom 1v
Akwa ibom,Mkpat enin,Ikpa ikono 1
Akwa ibom,Mkpat enin,Ikpa ikono 11
Akwa ibom,Mkpat enin,Ikpa ikono 111
Akwa ibom,Mkpat enin,Ukpum minya 1
Akwa ibom,Mkpat enin,Ukpum minya 11
Akwa ibom,Mkpat enin,Ukpum minya 111
Akwa ibom,Mkpat enin,Ukpum minya 1v
Akwa ibom,Nsit atai,Eastern nsit 1
Akwa ibom,Nsit atai,Eastern nsit 11
Akwa ibom,Nsit atai,Eastern nsit 111
Akwa ibom,Nsit atai,Eastern nsit 1v
Akwa ibom,Nsit atai,Eastern nsit ix
Akwa ibom,Nsit atai,Eastern nsit v
Akwa ibom,Nsit atai,Eastern nsit v1
Akwa ibom,Nsit atai,Eastern nsit v11
Akwa ibom,Nsit atai,Eastern nsit v111
Akwa ibom,Nsit atai,Eastern nsit x
Akwa ibom,Nsit ibom,Asang 1
Akwa ibom,Nsit ibom,Asang 11
Akwa ibom,Nsit ibom,Asang 111
Akwa ibom,Nsit ibom,Asang 1v
Akwa ibom,Nsit ibom,Asang v
Akwa ibom,Nsit ibom,Mbaiso 1
Akwa ibom,Nsit ibom,Mbaiso 11
Akwa ibom,Nsit ibom,Mbaiso 111
Akwa ibom,Nsit ibom,Mbaiso 1v
Akwa ibom,Nsit ibom,Mbaiso v
Akwa ibom,Nsit ubium,Ibiakpan obotim 1
Akwa ibom,Nsit ubium,Ibiakpan/obotim 11
Akwa ibom,Nsit ubium,Itreto
Akwa ibom,Nsit ubium,Ndiya
Akwa ibom,Nsit ubium,Ubium north 1
Akwa ibom,Nsit ubium,Ubium north 11
Akwa ibom,Nsit ubium,Ubium north 111
Akwa ibom,Nsit ubium,Ubium south 1
Akwa ibom,Nsit ubium,Ubium south 11
Akwa ibom,Nsit ubium,Ubium south 111
Akwa ibom,Obot akara,Ikot abia 1
Akwa ibom,Obot akara,Ikot abia 11
Akwa ibom,Obot akara,Ikot abia 111
Akwa ibom,Obot akara,Nto edino 1
Akwa ibom,Obot akara,Nto edino 11
Akwa ibom,Obot akara,Nto edino 111
Akwa ibom,Obot akara,Nto edino 1v
Akwa ibom,Obot akara,Obot akara 1
Akwa ibom,Obot akara,Obot akara 11
Akwa ibom,Obot akara,Obot akara 111
Akwa ibom,Okobo,Akai/mbukpo/udung
Akwa ibom,Okobo,Ekeya
Akwa ibom,Okobo,Eweme 1
Akwa ibom,Okobo,Eweme 11
Akwa ibom,Okobo,Nung atai/ube 1
Akwa ibom,Okobo,Nung atai/ube 11
Akwa ibom,Okobo,Offi 1
Akwa ibom,Okobo,Offi 11
Akwa ibom,Okobo,Okopedi 1
Akwa ibom,Okobo,Okopedi 11
Akwa ibom,Onna,Awa 1
Akwa ibom,Onna,Awa 11
Akwa ibom,Onna,Awa 111
Akwa ibom,Onna,Awa 1v
Akwa ibom,Onna,Nung idem 1
Akwa ibom,Onna,Nung idem 11
Akwa ibom,Onna,Oniong east 1
Akwa ibom,Onna,Oniong east 11
Akwa ibom,Onna,Oniong east 111
Akwa ibom,Onna,Oniong west 1
Akwa ibom,Onna,Oniong west 11
Akwa ibom,Onna,Oniong west 111
Akwa ibom,Oron,Oron urban ix
Akwa ibom,Oron,Oron urban x
Akwa ibom,Oron,Oron urban 1
Akwa ibom,Oron,Oron urban 11
Akwa ibom,Oron,Oron urban 111
Akwa ibom,Oron,Oron urban 1v
Akwa ibom,Oron,Oron urban v
Akwa ibom,Oron,Oron urban v1
Akwa ibom,Oron,Oron urban v11
Akwa ibom,Oron,Oron urban v111
Akwa ibom,Oruk anam,Abak midim 1
Akwa ibom,Oruk anam,Abak midim 11
Akwa ibom,Oruk anam,Abak midim 111
Akwa ibom,Oruk anam,Abak midim 1v
Akwa ibom,Oruk anam,Ekparakwa
Akwa ibom,Oruk anam,Ibesit/nung ikot 1
Akwa ibom,Oruk anam,Ibesit/nung ikot 11
Akwa ibom,Oruk anam,Ikot ibritam 1
Akwa ibom,Oruk anam,Ikot ibritam 11
Akwa ibom,Oruk anam,Ndot/ikot okoro 1
Akwa ibom,Oruk anam,Ndot/ikot okoro 11
Akwa ibom,Oruk anam,Ndot/ikot okoro 111
Akwa ibom,Oruk anam,Ndot/ikot okoro v1
Akwa ibom,Udung uko,Udung uko 1
Akwa ibom,Udung uko,Udung uko 11
Akwa ibom,Udung uko,Udung uko 111
Akwa ibom,Udung uko,Udung uko 1v
Akwa ibom,Udung uko,Udung uko ix
Akwa ibom,Udung uko,Udung uko v
Akwa ibom,Udung uko,Udung uko v1
Akwa ibom,Udung uko,Udung uko v11
Akwa ibom,Udung uko,Udung uko v111
Akwa ibom,Udung uko,Udung uko x
